iter	Passed	Remaining
0	14	14761
1	18	9178
2	21	7165
3	24	6166
4	27	5452
5	30	5133
6	35	4965
7	38	4757
8	41	4618
9	46	4556
10	48	4393
11	51	4242
12	55	4187
13	58	4089
14	61	4023
15	65	4016
16	68	3945
17	71	3903
18	74	3838
19	77	3813
20	80	3763
21	83	3715
22	86	3676
23	89	3632
24	92	3615
25	96	3629
26	99	3600
27	102	3574
28	105	3540
29	109	3532
30	112	3505
31	114	3473
32	118	3458
33	120	3433
34	123	3403
35	126	3388
36	129	3363
37	131	3337
38	134	3311
39	137	3301
40	139	3272
41	142	3243
42	145	3240
43	148	3226
44	151	3208
45	153	3189
46	156	3171
47	159	3157
48	162	3162
49	165	3151
50	174	3253
51	177	3239
52	181	3234
53	184	3225
54	187	3216
55	189	3201
56	193	3203
57	196	3189
58	198	3173
59	201	3158
60	204	3147
61	207	3139
62	210	3129
63	213	3115
64	215	3101
65	218	3087
66	220	3074
67	223	3062
68	226	3056
69	229	3052
70	232	3039
71	235	3033
72	237	3020
73	240	3012
74	243	3007
75	246	2996
76	249	2988
77	251	2977
78	254	2968
79	257	2963
80	260	2960
81	264	2958
82	267	2954
83	270	2944
84	272	2934
85	275	2931
86	278	2923
87	281	2914
88	284	2908
89	286	2899
90	289	2890
91	292	2884
92	294	2875
93	297	2865
94	300	2861
95	303	2854
96	305	2846
97	308	2839
98	311	2836
99	315	2835
100	318	2830
101	320	2822
102	323	2815
103	326	2809
104	329	2806
105	332	2800
106	334	2794
107	337	2788
108	341	2791
109	344	2790
110	347	2785
111	350	2779
112	353	2775
113	356	2768
114	359	2765
115	362	2760
116	365	2756
117	368	2752
118	370	2744
119	373	2738
120	376	2732
121	379	2729
122	382	2724
123	384	2719
124	388	2718
125	391	2715
126	395	2715
127	398	2711
128	402	2714
129	405	2712
130	408	2712
131	412	2710
132	415	2705
133	418	2701
134	421	2701
135	425	2703
136	428	2700
137	432	2702
138	436	2701
139	439	2702
140	443	2701
141	446	2699
142	450	2700
143	453	2695
144	458	2704
145	462	2707
146	466	2708
147	470	2707
148	473	2703
149	476	2701
150	480	2702
151	483	2698
152	487	2699
153	490	2693
154	493	2692
155	497	2690
156	500	2686
157	503	2685
158	510	2701
159	517	2716
160	522	2723
161	525	2719
162	529	2717
163	532	2713
164	536	2712
165	539	2711
166	542	2707
167	547	2710
168	551	2709
169	553	2703
170	556	2698
171	559	2694
172	562	2688
173	565	2682
174	568	2678
175	570	2672
176	573	2665
177	576	2660
178	578	2654
179	581	2650
180	584	2645
181	587	2639
182	589	2633
183	592	2627
184	595	2622
185	598	2619
186	602	2618
187	605	2613
188	607	2607
189	611	2604
190	613	2599
191	616	2595
192	619	2591
193	622	2586
194	625	2583
195	628	2579
196	631	2575
197	635	2572
198	638	2570
199	642	2570
200	645	2566
201	648	2561
202	651	2557
203	654	2552
204	656	2547
205	659	2543
206	662	2538
207	665	2535
208	668	2530
209	671	2525
210	674	2522
211	677	2519
212	680	2515
213	683	2510
214	686	2505
215	688	2499
216	692	2497
217	694	2492
218	697	2488
219	700	2483
220	703	2478
221	706	2475
222	709	2471
223	712	2469
224	715	2465
225	718	2460
226	721	2456
227	724	2454
228	728	2451
229	731	2449
230	734	2444
231	737	2441
232	741	2440
233	744	2438
234	748	2436
235	752	2437
236	757	2437
237	759	2433
238	762	2428
239	768	2433
240	771	2430
241	775	2428
242	777	2423
243	783	2426
244	786	2424
245	789	2420
246	792	2415
247	795	2412
248	801	2416
249	806	2419
250	810	2417
251	813	2415
252	817	2413
253	820	2409
254	823	2405
255	826	2403
256	831	2402
257	834	2400
258	837	2396
259	840	2392
260	843	2389
261	848	2389
262	851	2385
263	854	2381
264	857	2377
265	860	2373
266	864	2374
267	868	2372
268	871	2369
269	875	2366
270	879	2366
271	884	2366
272	888	2365
273	892	2363
274	896	2363
275	900	2361
276	903	2358
277	906	2353
278	909	2349
279	913	2348
280	916	2344
281	919	2340
282	922	2336
283	926	2335
284	930	2335
285	934	2331
286	936	2327
287	939	2322
288	942	2318
289	947	2319
290	950	2316
291	953	2312
292	956	2308
293	959	2304
294	964	2304
295	967	2300
296	970	2296
297	973	2293
298	977	2290
299	981	2290
300	985	2288
301	988	2285
302	992	2282
303	996	2282
304	1000	2280
305	1003	2276
306	1006	2271
307	1010	2271
308	1014	2268
309	1017	2264
310	1020	2259
311	1023	2256
312	1027	2256
313	1031	2253
314	1034	2249
315	1038	2247
316	1041	2244
317	1046	2243
318	1049	2239
319	1052	2235
320	1055	2233
321	1061	2236
322	1068	2239
323	1074	2242
324	1078	2240
325	1083	2239
326	1090	2243
327	1094	2241
328	1097	2237
329	1099	2233
330	1102	2229
331	1105	2225
332	1110	2223
333	1113	2219
334	1116	2216
335	1119	2212
336	1123	2210
337	1127	2208
338	1130	2203
339	1133	2200
340	1136	2195
341	1140	2193
342	1143	2190
343	1146	2186
344	1149	2183
345	1153	2179
346	1157	2178
347	1161	2176
348	1165	2174
349	1168	2170
350	1174	2171
351	1177	2167
352	1180	2164
353	1184	2160
354	1187	2157
355	1191	2155
356	1194	2151
357	1197	2147
358	1200	2144
359	1205	2142
